n,canal,url,estado,motivo,frames,muestreo_s,negro_%,congelado_s,check_s,ffmpeg_rc,timed_out
146,Sion TV,https://tv.streamcasthd.com:3536/live/siontvlive.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,6.7,3419392776,False
147,Solive TV,https://stmv6.voxtvhd.com.br/solivetv/solivetv/playlist.m3u8,ok,,433,15.0,0.0,0.0,8.9,0,False
148,T5 Satelital,https://stream.t5satelital.blog/hls/t5satelitalweb.m3u8,ok,,375,15.0,0.0,0.0,5.6,0,False
149,Telecreativa,https://panel.host-live.com:19360/8012/8012.m3u8,ok,,375,15.0,0.0,0.0,12.3,0,False
150,Telpin TV Canal 2 HD (720p),https://mistserver.telpin.com.ar:8443/hls/telpinlive/index.m3u8,ok,,450,15.0,0.0,0.0,10.1,0,False
151,TV Publica Marcos Paz,https://online.radiomelody.com.ar:2443/hls/mediospublicos.m3u8,ok,,450,15.0,0.0,0.0,9.9,0,False
152,Villa Mantero TV,https://micanal.ovh/livestreams/515.AUTOOAAZ721F.m3u8,ok,,450,15.0,0.0,0.0,9.0,0,False
153,Xama TV,https://srs.unsj.edu.ar/live/xama/xama.flv,ok,,375,15.0,0.0,0.0,14.7,0,False
154,Canal Luz,https://g4.vxral-hor.transport.edge-access.net/a11/ngrp:canal_luz01-100009_all/Playlist.m3u8,fail,no abre/no decodifica: HTTP error 403 Access denied.,0,0.0,0.0,0.0,2.2,3436169992,False
155,Disney Channel Latin America Panregional HD (1080p),http://190.11.225.124:5000/live/disney_hd/playlist.m3u8,fail,opciones FFmpeg incompatibles: Opening 'http://190.11.225.124:5000/live/disney_hd/20260722_181250.ts' for reading,0,0.0,0.0,0.0,17.1,2880417800,False
156,Disney Jr. Latin America North HD (1080p),http://190.11.225.124:5000/live/disney_jr_hd/playlist.m3u8,fail,opciones FFmpeg incompatibles: Opening 'http://190.11.225.124:5000/live/disney_jr_hd/20260722_181300.ts' for reading,0,0.0,0.0,0.0,10.6,2880417800,False
157,Bragado TV,https://srv1053170.hstgr.cloud/hls/bragadotv.m3u8,fail,no abre/no decodifica: Connection to tcp://srv1053170.hstgr.cloud:443 failed: Error number -138 occurred,0,0.0,0.0,0.0,33.3,4294967158,False
158,Telefe (1080p),http://playcom.trapemn.tv:1935/transcoderip/telefe.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.5,3419392776,False
159,TyC Sports (1080p),http://playcom.trapemn.tv:1935/transcoderip/tycsports.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.2,3419392776,False
160,TN (1080p),http://playcom.trapemn.tv:1935/transcoderip/tn.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,1.2,3419392776,False
161,La Nacion + (576p),http://playcom.trapemn.tv:1935/transcoderip/lanacionplus.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,1.1,3419392776,False
162,El Nueve (1080p),http://playcom.trapemn.tv:1935/transcoderip/canal9.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.4,3419392776,False
163,America TV (1080p),http://playcom.trapemn.tv:1935/transcoderip/america.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,1.2,3419392776,False
164,Disney Channel Latin America North (576p),http://138.121.15.230:9002/DISNEY-CHANNEL/index.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,14.0,2880417800,False
165,Disney Jr. Latin America South HD (1080p),http://179.60.51.134:8888/DISNEY-JR/index.m3u8,fail,opciones FFmpeg incompatibles: Opening 'http://179.60.51.134:8888/DISNEY-JR/tracks-v1a1/2026/07/23/00/13/57-05005.ts' for reading,0,0.0,0.0,0.0,13.3,2880417800,False
166,TV Publica (1080p),http://playcom.trapemn.tv:1935/transcoderip/tvpublica.stream/playlist.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,1.2,3419392776,False
167,Disney Channel Latin America (1080p),http://45.185.163.75:8000/play/a02j/index.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,10.4,2880417800,False
168,Disney Jr. Latin America South (1080p),http://45.185.163.75:8000/play/a016/index.m3u8,fail,opciones FFmpeg incompatibles: Opening 'http://45.185.163.75:8000/play/a016/52524012.m3u8' for reading,0,0.0,0.0,0.0,11.3,2880417800,False
169,Disney Channel Latin America Center (1080p),http://181.78.8.199:8000/play/a0dn/index.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,14.7,2880417800,False
170,Disney Jr. Latin America North HD (1080p),http://181.78.14.26:4000/play/a073/index.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,26.4,2880417800,False
171,TEC TV (576p),https://edgectc.com/TEC_HD/index.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.8,3419392776,False
172,El Siete (1080p),https://edgectc.com/CANAL7_MZA/index.m3u8,fail,no abre/no decodifica: HTTP error 404 Not Found,0,0.0,0.0,0.0,2.3,3419392776,False
173,Plim Plim (1080p),http://8.243.126.131:8000/play/a0od/index.m3u8,fail,opciones FFmpeg incompatibles: Option tls_verify not found.,0,0.0,0.0,0.0,5.8,2880417800,False
